#Format for adding blocks
#block ~~~ meta

minecraft:stone ~~~ 0
minecraft:grass ~~~ 0
minecraft:dirt ~~~ 0
minecraft:cobblestone ~~~ 0
minecraft:planks ~~~ 0
minecraft:planks ~~~ 1
minecraft:planks ~~~ 2
minecraft:planks ~~~ 3
minecraft:planks ~~~ 4
minecraft:planks ~~~ 5
minecraft:sapling ~~~ 0
minecraft:sapling ~~~ 1
minecraft:sapling ~~~ 2
minecraft:sapling ~~~ 3
minecraft:bedrock ~~~ 0
minecraft:flowing_water ~~~ 0
minecraft:water ~~~ 0
minecraft:flowing_lava ~~~ 0
minecraft:lava ~~~ 0
minecraft:sand ~~~ 0
minecraft:gravel ~~~ 0
minecraft:gold_ore ~~~ 0
minecraft:iron_ore ~~~ 0
minecraft:coal_ore ~~~ 0
minecraft:log ~~~ 0
minecraft:log ~~~ 1
minecraft:log ~~~ 2
minecraft:log ~~~ 3
minecraft:leaves ~~~ 0
minecraft:leaves ~~~ 1
minecraft:leaves ~~~ 2
minecraft:leaves ~~~ 3
minecraft:sponge ~~~ 0
minecraft:glass ~~~ 0
minecraft:lapis_ore ~~~ 0
minecraft:lapis_block ~~~ 0
minecraft:dispenser ~~~ 0
minecraft:sandstone ~~~ 0
minecraft:noteblock ~~~ 0
minecraft:bed ~~~ 0
minecraft:golden_rail ~~~ 0
minecraft:detector_rail ~~~ 0
minecraft:sticky_piston ~~~ 0
minecraft:web ~~~ 0
minecraft:tallgrass ~~~ 0
minecraft:tallgrass ~~~ 1
minecraft:tallgrass ~~~ 2
minecraft:deadbush ~~~ 0
minecraft:piston ~~~ 0
minecraft:piston_head ~~~ 0
minecraft:wool ~~~ 0
minecraft:wool ~~~ 1
minecraft:wool ~~~ 2
minecraft:wool ~~~ 3
minecraft:wool ~~~ 4
minecraft:wool ~~~ 5
minecraft:wool ~~~ 6
minecraft:wool ~~~ 7
minecraft:wool ~~~ 8
minecraft:wool ~~~ 9
minecraft:wool ~~~ 10
minecraft:wool ~~~ 11
minecraft:wool ~~~ 12
minecraft:wool ~~~ 13
minecraft:wool ~~~ 14
minecraft:wool ~~~ 15
minecraft:piston_extension ~~~ 0
minecraft:yellow_flower ~~~ 0
minecraft:red_flower ~~~ 0
minecraft:brown_mushroom ~~~ 0
minecraft:red_mushroom ~~~ 0
minecraft:gold_block ~~~ 0
minecraft:iron_block ~~~ 0
minecraft:stone_slab ~~~ 0
minecraft:stone_slab ~~~ 1
minecraft:stone_slab ~~~ 3
minecraft:stone_slab ~~~ 3
minecraft:stone_slab ~~~ 4
minecraft:stone_slab ~~~ 5
minecraft:stone_slab ~~~ 6
minecraft:stone_slab ~~~ 7
minecraft:brick_block ~~~ 0
minecraft:tnt ~~~ 0
minecraft:bookshelf ~~~ 0
minecraft:mossy_cobblestone ~~~ 0
minecraft:obsidian ~~~ 0
minecraft:torch ~~~ 0
minecraft:fire ~~~ 0
minecraft:mob_spawner ~~~ 0
minecraft:oak_stairs ~~~ 0
